일자,요일,휴일,법정공휴일명
2018-10-24,수요일,N,
2018-10-25,목요일,N,
2018-10-26,금요일,N,
2018-10-27,토요일,N,
2018-10-28,일요일,Y,
2018-10-29,월요일,N,
2018-10-30,화요일,N,
2018-10-31,수요일,N,
2018-11-01,목요일,N,
2018-11-02,금요일,N,
2018-11-03,토요일,N,
2018-11-04,일요일,Y,
2018-11-05,월요일,N,
2018-11-06,화요일,N,
2018-11-07,수요일,N,
2018-11-08,목요일,N,
2018-11-09,금요일,N,
2018-11-10,토요일,N,
2018-11-11,일요일,Y,
2018-11-12,월요일,N,
2018-11-13,화요일,N,
2018-11-14,수요일,N,
2018-11-15,목요일,N,
2018-11-16,금요일,N,
2018-11-17,토요일,N,
2018-11-18,일요일,Y,
2018-11-19,월요일,N,
2018-11-20,화요일,N,
2018-11-21,수요일,N,
2018-11-22,목요일,N,
2018-11-23,금요일,N,
2018-11-24,토요일,N,
2018-11-25,일요일,Y,
2018-11-26,월요일,N,
2018-11-27,화요일,N,
2018-11-28,수요일,N,
2018-11-29,목요일,N,
2018-11-30,금요일,N,
2018-12-01,토요일,N,
2018-12-02,일요일,Y,
2018-12-03,월요일,N,
2018-12-04,화요일,N,
2018-12-05,수요일,N,
2018-12-06,목요일,N,
2018-12-07,금요일,N,
2018-12-08,토요일,N,
2018-12-09,일요일,Y,
2018-12-10,월요일,N,
2018-12-11,화요일,N,
2018-12-12,수요일,N,
2018-12-13,목요일,N,
2018-12-14,금요일,N,
2018-12-15,토요일,N,
2018-12-16,일요일,Y,
2018-12-17,월요일,N,
2018-12-18,화요일,N,
2018-12-19,수요일,N,
2018-12-20,목요일,N,
2018-12-21,금요일,N,
2018-12-22,토요일,N,
2018-12-23,일요일,Y,
2018-12-24,월요일,N,
2018-12-25,화요일,Y,기독탄신일
2018-12-26,수요일,N,
2018-12-27,목요일,N,
2018-12-28,금요일,N,
2018-12-29,토요일,N,
2018-12-30,일요일,Y,
2018-12-31,월요일,N,
2019-01-01,화요일,Y,1월1일
2019-01-02,수요일,N,
2019-01-03,목요일,N,
2019-01-04,금요일,N,
2019-01-05,토요일,N,
2019-01-06,일요일,Y,
2019-01-07,월요일,N,
2019-01-08,화요일,N,
2019-01-09,수요일,N,
2019-01-10,목요일,N,
2019-01-11,금요일,N,
2019-01-12,토요일,N,
2019-01-13,일요일,Y,
2019-01-14,월요일,N,
2019-01-15,화요일,N,
2019-01-16,수요일,N,
2019-01-17,목요일,N,
2019-01-18,금요일,N,
2019-01-19,토요일,N,
2019-01-20,일요일,Y,
2019-01-21,월요일,N,
2019-01-22,화요일,N,
2019-01-23,수요일,N,
2019-01-24,목요일,N,
2019-01-25,금요일,N,
2019-01-26,토요일,N,
2019-01-27,일요일,Y,
2019-01-28,월요일,N,
2019-01-29,화요일,N,
2019-01-30,수요일,N,
2019-01-31,목요일,N,
2019-02-01,금요일,N,
2019-02-02,토요일,N,
2019-02-03,일요일,Y,
2019-02-04,월요일,Y,설날
2019-02-05,화요일,Y,설날
2019-02-06,수요일,Y,설날
2019-02-07,목요일,N,
2019-02-08,금요일,N,
2019-02-09,토요일,N,
2019-02-10,일요일,Y,
2019-02-11,월요일,N,
2019-02-12,화요일,N,
2019-02-13,수요일,N,
2019-02-14,목요일,N,
2019-02-15,금요일,N,
2019-02-16,토요일,N,
2019-02-17,일요일,Y,
2019-02-18,월요일,N,
2019-02-19,화요일,N,
2019-02-20,수요일,N,
2019-02-21,목요일,N,
2019-02-22,금요일,N,
2019-02-23,토요일,N,
2019-02-24,일요일,Y,
2019-02-25,월요일,N,
2019-02-26,화요일,N,
2019-02-27,수요일,N,
2019-02-28,목요일,N,
2019-03-01,금요일,Y,삼일절
2019-03-02,토요일,N,
